"","x"
"1","A1BG|1"
"2","A2M|2"
"3","NAT1|9"
"4","NAT2|10"
"5","SERPINA3|12"
"6","SERPINA3|12"
"7","AADAC|13"
"8","AAMP|14"
"9","AANAT|15"
"10","AARS|16"
"11","ABAT|18"
"12","ABCA1|19"
"13","ABCA2|20"
"14","ABCA3|21"
"15","ABCB7|22"
"16","ABCF1|23"
"17","ABCA4|24"
"18","ABL1|25"
"19","ABP1|26"
"20","ABL2|27"
"21","ABO|28"
"22","ABR|29"
"23","ACAA1|30"
"24","ACACA|31"
"25","ACACB|32"
"26","ACADL|33"
"27","ACADM|34"
"28","ACADS|35"
"29","ACADSB|36"
"30","ACADVL|37"
"31","ACAT1|38"
"32","ACAT2|39"
"33","ACCN1|40"
"34","ACCN2|41"
"35","ACHE|43"
"36","ACLY|47"
"37","ACO1|48"
"38","ACR|49"
"39","ACO2|50"
"40","ACOX1|51"
"41","ACP1|52"
"42","ACP2|53"
"43","ACP5|54"
"44","ACPP|55"
"45","ACRV1|56"
"46","ACTA1|58"
"47","ACTA2|59"
"48","ACTB|60"
"49","ACTB|60"
"50","ACTC1|70"
"51","ACTG1|71"
"52","ACTG2|72"
"53","ACTN4|81"
"54","ACTL6A|86"
"55","ACTN1|87"
"56","ACTN2|88"
"57","ACTN3|89"
"58","ACVR1|90"
"59","ACVR1B|91"
"60","ACVR2A|92"
"61","ACVR2B|93"
"62","ACVRL1|94"
"63","ACY1|95"
"64","ACY1|95"
"65","ACYP1|97"
"66","ACYP2|98"
"67","ADA|100"
"68","ADAM8|101"
"69","ADAM10|102"
"70","ADAR|103"
"71","ADARB1|104"
"72","ADARB2|105"
"73","ADCY1|107"
"74","ADCY2|108"
"75","ADCY3|109"
"76","ADCY5|111"
"77","ADCY6|112"
"78","ADCY7|113"
"79","ADCY8|114"
"80","ADCY9|115"
"81","ADCYAP1|116"
"82","ADCYAP1R1|117"
"83","ADD1|118"
"84","ADD2|119"
"85","ADD3|120"
"86","PLIN2|123"
"87","ADH1A|124"
"88","ADH1B|125"
"89","ADH1C|126"
"90","ADH4|127"
"91","ADH5|128"
"92","ADH6|130"
"93","ADH7|131"
"94","ADK|132"
"95","ADM|133"
"96","ADORA1|134"
"97","ADORA2A|135"
"98","ADORA2B|136"
"99","ADORA3|140"
"100","ADPRH|141"
"101","PARP1|142"
"102","PARP4|143"
"103","ADRA1D|146"
"104","ADRA1B|147"
"105","ADRA1A|148"
"106","ADRA2A|150"
"107","ADRA2B|151"
"108","ADRA2C|152"
"109","ADRB1|153"
"110","ADRB2|154"
"111","ADRB3|155"
"112","ADRBK1|156"
"113","ADRBK2|157"
"114","ADSL|158"
"115","ADSS|159"
"116","AP2A1|160"
"117","AP2A2|161"
"118","AP1B1|162"
"119","AP2B1|163"
"120","AP1G1|164"
"121","AEBP1|165"
"122","AES|166"
"123","CRISP1|167"
"124","AFG3L1|172"
"125","AFM|173"
"126","AFP|174"
"127","AGA|175"
"128","ACAN|176"
"129","AGER|177"
"130","AGL|178"
"131","AGRP|181"
"132","JAG1|182"
"133","AGT|183"
"134","AGTR1|185"
"135","AGTR2|186"
"136","APLNR|187"
"137","AGXT|189"
"138","NR0B1|190"
"139","AHCY|191"
"140","AHR|196"
"141","AHSG|197"
"142","AIF1|199"
"143","AIM1|202"
"144","AK1|203"
"145","AK2|204"
"146","AK2|204"
"147","AK3L1|205"
"148","AKT1|207"
"149","AKT2|208"
"150","ALAD|210"
"151","ALAS1|211"
"152","ALAS2|212"
"153","ALB|213"
"154","ALCAM|214"
"155","ABCD1|215"
"156","ALDH1A1|216"
"157","ALDH2|217"
"158","ALDH3A1|218"
"159","ALDH1B1|219"
